nombres_nominados_nominadas;genero;lugar_de_nacimiento;nacionalidad_1;nacionalidad_2;raza_o_etnia;su_debut_fue_estadounidense;titulo_original_pelicula_debut;categoria_nominacion_oscar;fue_ganador_o_ganadora;ano_ceremonia;titulo_original_pelicula_nominada;companias_produccion;paises_de_produccion;;
Joan Fontaine;Femenino;Tokio, Japón;Británica;Estadounidense;Blanca;Sí; No More Ladies;Mejor actriz;No;1944;The Constant Nymph;;;;
Greer Garson;Femenino;Londres, Inglaterra;Británica;Estadounidense ;Blanca;Sí; Goodbye,  Mr. Chips;Mejor actriz;No;1944;Madame Curie;;;;
Jennifer Jones;Femenino;Tulsa, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; New Frontier;Mejor actriz;Sí;1944;The Song of Bernadette;;;;
Charles Boyer;Masculino;Figeac, Francia;Francesa;Estadounidense ;Blanca;No; L'Homme du large;Mejor actor;No;1945;Gaslight;;;;
Bing Crosby;Masculino;Tacoma, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí;  King of Jazz;Mejor actor;Sí;1945;Going My Way;;;;
Barry Fitzgerald;Masculino;Dublín, Irlanda;Irlandesa;No aplica;Blanca;No; Land of Her Fathers;Mejor actor;No;1945;Going My Way;;;;
Cary Grant;Masculino;Bristol, Inglaterra;Británica;Estadounidense;Blanca;Sí; This Is the Night;Mejor actor;No;1945;None but the Lonely Heart;;;;
Alexander Knox;Masculino;Strathroy, Canadá;Canadiense;No aplica;Blanca;No; The Gaunt Stranger;Mejor actor;No;1945;Wilson;;;;
Ingrid Bergman;Femenino;Estocolmo, Suecia;Sueca ;No aplica;Blanca;No; Munkbrogreven;Mejor actriz;Sí;1945;Gaslight;;;;
Claudette Colbert;Femenino;Saint-Mandé, Francia;Francesa;Estadounidense ;Blanca;Sí; For the Love of Mike;Mejor actriz;No;1945;Since You Went Away;;;;
Bette Davis;Femenino;Lowell, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Bad Sister;Mejor actriz;No;1945;Mr. Skeffington;;;;
