nombres_nominados_nominadas;genero;lugar_de_nacimiento;nacionalidad_1;nacionalidad_2;raza_o_etnia;su_debut_fue_estadounidense;titulo_original_pelicula_debut;categoria_nominacion_oscar;fue_ganador_o_ganadora;ano_ceremonia;titulo_original_pelicula_nominada;companias_produccion;paises_de_produccion;;
Cate Blanchett;Femenino;Melbourne, Australia;Australiana;Estadounidense;Blanca;Sí; Paradise Road;Mejor actriz;Sí;2014;Blue Jasmine;;;;
Sandra Bullock;Femenino;Arlington, Estados Unidos;Estadounidense;Alemana;Blanca;Sí; Hangmen;Mejor actriz;No;2014;Gravity;;;;
Judi Dench;Femenino;York, Inglaterra;Británica;No aplica;Blanca;No; The Third Secret;Mejor actriz;No;2014;Philomena;;;;
Meryl Streep;Femenino;Summit, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Julia;Mejor actriz;No;2014;August: Osage County;;;;
Steve Carell;Masculino;Concord, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Curly Sue;Mejor actor;No;2015;Foxcatcher;;;;
Bradley Cooper;Masculino;Filadelfia, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Wet Hot American Summer;Mejor actor;No;2015;American Sniper;;;;
Benedict Cumberbatch;Masculino;Hammersmith, Inglaterra;Británica;No aplica;Blanca;No; To Kill a King;Mejor actor;No;2015;The Imitation Game;;;;
Michael Keaton;Masculino;Coraopolis, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Rabbit Test;Mejor actor;No;2015;Birdman or (The Unexpected Virtue of Ignorance);;;;
Eddie Redmayne;Masculino;Westminster, Inglaterra;Británica;No aplica;Blanca;No; Like Minds;Mejor actor;Sí;2015;The Theory of Everything;;;;
Marion Cotillard;Femenino;París, Francia;Francesa;No aplica;Blanca;No; L'histoire du garçon qui voulait qu'on l'embrasse;Mejor actriz;No;2015;Two Days, One Night;;;;
Felicity Jones;Femenino;Birmingham, Inglaterra;Británica;No aplica;Blanca;Sí; Flashbacks of a Fool;Mejor actriz;No;2015;The Theory of Everything;;;;
Julianne Moore;Femenino;Fort Bragg, Estados Unidos;Estadounidense;Británica;Blanca;Sí; Tales from the Darkside: The Movie;Mejor actriz;Sí;2015;Still Alice;;;;
Rosamund Pike;Femenino;Hammersmith, Inglaterra;Británica;No aplica;Blanca;Sí;  Die Another Day;Mejor actriz;No;2015;Gone Girl;;;;
Reese Witherspoon;Femenino;Nueva Orleans, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Man in the Moon;Mejor actriz;No;2015;Wild;;;;
Bryan Cranston;Masculino;Valle de San Fernando, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Big Turnaround;Mejor actor;No;2016;Trumbo;;;;
Matt Damon;Masculino;Cambridge, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Mystic Pizza;Mejor actor;No;2016;The Martian;;;;
Leonardo DiCaprio;Masculino;Hollywood, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Critters 3: You Are What They Eat;Mejor actor;Sí;2016;The Revenant;;;;
Michael Fassbender;Masculino;Heidelberg, Alemania;Alemana;Irlandesa;Blanca;Sí;300;Mejor actor;No;2016;Steve Jobs;;;;
Eddie Redmayne;Masculino;Westminster, Inglaterra;Británica;No aplica;Blanca;No; Like Minds;Mejor actor;No;2016;The Danish Girl;;;;
Cate Blanchett;Femenino;Melbourne, Australia;Australiana;Estadounidense;Blanca;Sí; Paradise Road;Mejor actriz;No;2016;Carol;;;;
Brie Larson;Femenino;Sacramento, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Special Delivery;Mejor actriz;Sí;2016;Room;;;;
Jennifer Lawrence;Femenino;Louisville, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Garden Party;Mejor actriz;No;2016;Joy;;;;
Charlotte Rampling;Femenino;Sturmer, Inglaterra;Británica;No aplica;Blanca;No; Rotten to the Core;Mejor actriz;No;2016;45 Years;;;;
Saoirse Ronan;Femenino;Bronx, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; I Could Never Be Your Woman;Mejor actriz;No;2016;Brooklyn;;;;
Casey Affleck;Masculino;Falmouth, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; Lemon Sky;Mejor actor;Sí;2017;Manchester by the Sea;;;;
Andrew Garfield;Masculino;Los Ángeles, Estados Unidos;Estadounidense;No aplica;Blanca;No; Boy A;Mejor actor;No;2017;Hacksaw Ridge;;;;
Ryan Gosling;Masculino;Londres, Canadá;Canadiense;No aplica;Blanca;No; Frankenstein and Me;Mejor actor;No;2017;La La Land;;;;
Viggo Mortensen;Masculino;Manhattan, Estados Unidos;Estadounidense;Danesa;Blanca;Sí;  Witness;Mejor actor;No;2017;Captain Fantastic;;;;
Denzel Washington;Masculino;Mount Vernon, Estados Unidos;Estadounidense;No aplica;Negra;Sí; Carbon Copy;Mejor actor;No;2017;Fences;;;;
Isabelle Huppert;Femenino;París, Francia;Francesa;No aplica;Blanca;No; Faustine et le bel été;Mejor actriz;No;2017;Elle;;;;
Ruth Negga;Femenino;Addis Abeba, Etiopía;Irlandesa;Etíope;Mediooriental;No; Capital Letters;Mejor actriz;No;2017;Loving;;;;
Natalie Portman;Femenino;Jerusalén, Israel;Israelí;Estadounidense ;Blanca;Sí; Léon;Mejor actriz;No;2017;Jackie;;;;
Emma Stone;Femenino;Scottsdale, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Superbad;Mejor actriz;Sí;2017;La La Land;;;;
Meryl Streep;Femenino;Summit, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Julia;Mejor actriz;No;2017;Florence Foster Jenkins;;;;
Timothée Chalamet;Masculino;Nueva York, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Men,  Women & Children;Mejor actor;No;2018;Call Me by Your Name;;;;
Daniel Day-Lewis;Masculino;Greenwich, Inglaterra;Británica;Irlandesa;Blanca;No; Endless Love;Mejor actor;No;2018;Phantom Thread;;;;
Daniel Kaluuya;Masculino;Londres, Inglaterra;Británica;No aplica;Negra;No; Shoot the Messenger;Mejor actor;No;2018;Get Out;;;;
Gary Oldman;Masculino;New Cross, Inglaterra;Británica;No aplica;Blanca;No; Remembrance;Mejor actor;Sí;2018;Darkest Hour;;;;
Denzel Washington;Masculino;Mount Vernon, Estados Unidos;Estadounidense;No aplica;Negra;Sí; Carbon Copy;Mejor actor;No;2018;Roman J. Israel, Esq.;;;;
Sally Hawkins;Femenino;Dulwich, Inglaterra;Británica;No aplica;Blanca;No; All or Nothing;Mejor actriz;No;2018;The Shape of Water;;;;
Frances McDormand;Femenino;Chicago, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Blood Simple;Mejor actriz;Sí;2018;Three Billboards outside Ebbing, Missouri;;;;
Margot Robbie;Femenino;Dalby, Australia;Australiana;No aplica;Blanca;No; Vigilante;Mejor actriz;No;2018;I, Tonya;;;;
Saoirse Ronan;Femenino;Bronx, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; I Could Never Be Your Woman;Mejor actriz;No;2018;Lady Bird;;;;
Meryl Streep;Femenino;Summit, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Julia;Mejor actriz;No;2018;The Post;;;;
Christian Bale;Masculino;Haverfordwest, Pembrokeshire, Gales, Reino Unido;Británica;Estadounidense;Blanca;No; Mio min Mio;Mejor actor;No;2019;Vice;;;;
Bradley Cooper;Masculino;Filadelfia, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Wet Hot American Summer;Mejor actor;No;2019;A Star Is Born;;;;
Willem Dafoe;Masculino;Appleton, Estados Unidos;Estadounidense;Italiana;Blanca;Sí; The Loveless;Mejor actor;No;2019;At Eternity's Gate;;;;
Rami Malek;Masculino;Los Ángeles, Estados Unidos;Estadounidense;No aplica;Mediooriental;Sí; Night at the Museum;Mejor actor;Sí;2019;Bohemian Rhapsody;;;;
Viggo Mortensen;Masculino;Manhattan, Estados Unidos;Estadounidense;Danesa;Blanca;Sí;  Witness;Mejor actor;No;2019;Green Book;;;;
Yalitza Aparicio;Femenino;Tlaxiaco, México;Mexicana;No aplica;Hispana;Sí; Roma;Mejor actriz;No;2019;Roma;;;;
Glenn Close;Femenino;Greenwich, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The World According to Garp;Mejor actriz;No;2019;The Wife;;;;
Olivia Colman;Femenino;Norwich, Inglaterra;Británica;No aplica;Blanca;No; Confetti;Mejor actriz;Sí;2019;The Favourite;;;;
Lady Gaga;Femenino;Manhattan, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Machete Kills;Mejor actriz;No;2019;A Star Is Born;;;;
Melissa McCarthy;Femenino;Plainfield, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Go;Mejor actriz;No;2019;Can You Ever Forgive Me?;;;;
Antonio Banderas;Masculino;Málaga, España;Española;No aplica;Hispana;No; Pestañas postizas;Mejor actor;No;2020;Pain and Glory;;;;
Leonardo DiCaprio;Masculino;Hollywood, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Critters 3: You Are What They Eat;Mejor actor;No;2020;Once upon a Time...in Hollywood;;;;
Adam Driver;Masculino;San Diego, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; J. Edgar;Mejor actor;No;2020;Marriage Story;;;;
Joaquin Phoenix;Masculino;San Juan, Puerto Rico;Estadounidense;No aplica;Blanca;Sí; SpaceCamp;Mejor actor;Sí;2020;Joker;;;;
Jonathan Pryce;Masculino;Holywell, Flintshire, Gales, Reino Unido;Británica;No aplica;Blanca;Sí; Voyage of the Damned;Mejor actor;No;2020;The Two Popes;;;;
Cynthia Erivo;Femenino;Stockwell, Inglaterra;Británica;No aplica;Negra;Sí; Widows;Mejor actriz;No;2020;Harriet;;;;
Scarlett Johansson;Femenino;Manhattan, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; North;Mejor actriz;No;2020;Marriage Story;;;;
Saoirse Ronan;Femenino;Bronx, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; I Could Never Be Your Woman;Mejor actriz;No;2020;Little Women;;;;
Charlize Theron;Femenino;Benoni, Sudáfrica;Sudafricana;Estadounidense;Blanca;Sí; 2 Days in the Valley;Mejor actriz;No;2020;Bombshell;;;;
Renée Zellweger;Femenino;Katy, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Reality Bites;Mejor actriz;Sí;2020;Judy;;;;
Riz Ahmed;Masculino;Wembley, Inglaterra;Británica;No aplica;Multirracial;No; The Road to Guantanamo;Mejor actor;No;2021;Sound of Metal;;;;
Chadwick Boseman;Masculino;Anderson, Estados Unidos;Estadounidense;No aplica;Negra;Sí; The Express;Mejor actor;No;2021;Ma Rainey's Black Bottom;;;;
Anthony Hopkins;Masculino;Port Talbot, Reino Unido;Británica;Estadounidense;Blanca;No; The Lion in Winter;Mejor actor;Sí;2021;The Father;;;;
Gary Oldman;Masculino;New Cross, Inglaterra;Británica;No aplica;Blanca;No; Remembrance;Mejor actor;No;2021;Mank;;;;
Steven Yeun;Masculino;Seúl, Corea del Sur;Estadounidense;Surcoreana;Asiática;Sí; My Name Is Jerry;Mejor actor;No;2021;Minari;;;;
Viola Davis;Femenino;Saint Matthews, Estados Unidos;Estadounidense;No aplica;Negra;Sí; The Substance of Fire;Mejor actriz;No;2021;Ma Rainey's Black Bottom;;;;
Andra Day;Femenino;Edmonds, Estados Unidos;Estadounidense;No aplica;Negra;Sí; The United States vs. Billie Holiday;Mejor actriz;No;2021;The United States vs. Billie Holiday;;;;
Vanessa Kirby;Femenino;Wimbledon, Inglaterra;Británica;No aplica;Blanca;No; Love/Loss;Mejor actriz;No;2021;Pieces of a Woman;;;;
Frances McDormand;Femenino;Chicago, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Blood Simple;Mejor actriz;Sí;2021;Nomadland;;;;
Carey Mulligan;Femenino;Westminster, Inglaterra;Británica;No aplica;Blanca;Sí; Pride & Prejudice;Mejor actriz;No;2021;Promising Young Woman;;;;
Javier Bardem;Masculino;Las Palmas de Gran Canaria, España;Española;No aplica;Hispana;No; Las edades de Lulú;Mejor actor;No;2022;Being the Ricardos;;;;
Benedict Cumberbatch;Masculino;Hammersmith, Inglaterra;Británica;No aplica;Blanca;No; To Kill a King;Mejor actor;No;2022;The Power of the Dog;;;;
Andrew Garfield;Masculino;Los Ángeles, Estados Unidos;Estadounidense;No aplica;Blanca;No; Boy A;Mejor actor;No;2022;tick, tick...BOOM!;;;;
Will Smith;Masculino;Filadelfia, Estados Unidos;Estadounidense;No aplica;Negra;Sí; Where the Day Takes You;Mejor actor;Sí;2022;King Richard;;;;
Denzel Washington;Masculino;Mount Vernon, Estados Unidos;Estadounidense;No aplica;Negra;Sí; Carbon Copy;Mejor actor;No;2022;The Tragedy of Macbeth;;;;
Jessica Chastain;Femenino;Condado de Sonoma, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Jolene;Mejor actriz;Sí;2022;The Eyes of Tammy Faye;;;;
Olivia Colman;Femenino;Norwich, Inglaterra;Británica;No aplica;Blanca;No; Confetti;Mejor actriz;No;2022;The Lost Daughter;;;;
Penélope Cruz;Femenino;Alcobendas, España;Española;No aplica;Hispana;No; Jamón Jamón;Mejor actriz;No;2022;Parallel Mothers;;;;
Nicole Kidman;Femenino;Honolulú, Estados Unidos;Estadounidense;Australiana;Blanca;No; Bush Christmas;Mejor actriz;No;2022;Being the Ricardos;;;;
Kristen Stewart;Femenino;Los Ángeles, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Safety of Objects;Mejor actriz;No;2022;Spencer;;;;
Austin Butler;Masculino;Anaheim, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Aliens in the Attic;Mejor actor;No;2023;Elvis;;;;
Colin Farrell;Masculino;Castleknock, Irlanda;Irlandesa;No aplica;Blanca;No; The War Zone;Mejor actor;No;2023;The Banshees of Inisherin;;;;
Brendan Fraser;Masculino;Indianápolis, Estados Unidos;Estadounidense;Canadiense;Blanca;Sí; Dogfight;Mejor actor;Sí;2023;The Whale;;;;
Paul Mescal;Masculino;Maynooth, Irlanda;Irlandesa;No aplica;Blanca;Sí; The Lost Daughter;Mejor actor;No;2023;Aftersun;;;;
Bill Nighy;Masculino;Caterham, Inglaterra;Británica;No aplica;Blanca;No; Eye of the Needle;Mejor actor;No;2023;Living;;;;
Cate Blanchett;Femenino;Melbourne, Australia;Australiana;Estadounidense;Blanca;Sí; Paradise Road;Mejor actriz;No;2023;Tár;;;;
Ana de Armas;Femenino;La Habana, Cuba ;Cubana;Española;Hispana;No; Una rosa de Francia;Mejor actriz;No;2023;Blonde;;;;
Andrea Riseborough;Femenino;Newcastle upon Tyne, Inglaterra;Británica;No aplica;Blanca;Sí; Venus;Mejor actriz;No;2023;To Leslie;;;;
Michelle Williams;Femenino;Kalispell, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Lassie;Mejor actriz;No;2023;The Fabelmans;;;;
Michelle Yeoh;Femenino;Ipoh, Malasia;Malasia;No aplica;Asiática;No; Mao tou ying yu xiao fei xiang;Mejor actriz;Sí;2023;Everything Everywhere All at Once;;;;
Bradley Cooper;Masculino;Filadelfia, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Wet Hot American Summer;Mejor actor;No;2024;Maestro;;;;
Colman Domingo;Masculino;Filadelfia, Estados Unidos;Estadounidense;No aplica;Negra;Sí; Around the Fire;Mejor actor;No;2024;Rustin;;;;
Paul Giamatti;Masculino;New Haven, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Past Midnight;Mejor actor;No;2024;The Holdovers;;;;
Cillian Murphy;Masculino;Douglas, Irlanda;Irlandesa;No aplica;Blanca;No; The Tale of Sweety Barrett;Mejor actor;Sí;2024;Oppenheimer;;;;
Jeffrey Wright;Masculino;Washington D.C., Estados Unidos;Estadounidense;No aplica;Negra;Sí; Presumed Innocent;Mejor actor;No;2024;American Fiction;;;;
Annette Bening;Femenino;Topeka, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Great Outdoors;Mejor actriz;No;2024;Nyad;;;;
Lily Gladstone;Femenino;Kalispell, Estados Unidos;Estadounidense;No aplica;Multirracial;Sí; Jimmy P: Psychotherapy of a Plains Indian;Mejor actriz;No;2024;Killers of the Flower Moon;;;;
Sandra Hüller;Femenino;Suhl, Alemania;Alemana;No aplica;Blanca;No; Midsommar Stories;Mejor actriz;No;2024;Anatomy of a Fall;;;;
Carey Mulligan;Femenino;Westminster, Inglaterra;Británica;No aplica;Blanca;Sí; Pride & Prejudice;Mejor actriz;No;2024;Maestro;;;;
Emma Stone;Femenino;Scottsdale, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Superbad;Mejor actriz;Sí;2024;Poor Things;;;;
Adrien Brody;Masculino;Queens, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; New York Stories;Mejor actor;Sí;2025;The Brutalist;;;;
Timothée Chalamet;Masculino;Nueva York, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Men, Women & Children;Mejor actor;No;2025;A Complete Unknown;;;;
Colman Domingo;Masculino;Filadelfia, Estados Unidos;Estadounidense;No aplica;Negra;Sí; Around the Fire;Mejor actor;No;2025;Sing Sing;;;;
Ralph Fiennes;Masculino;Ipswich, Inglaterra;Británica;No aplica;Blanca;Sí; Wuthering Heights;Mejor actor;No;2025;Conclave;;;;
Sebastian Stan;Masculino;Constanza, Rumanía;Rumana;Estadounidense;Blanca;Sí; Tony 'n' Tina's Wedding;Mejor actor;No;2025;The Apprentice;;;;
Mikey Madison;Femenino;Los Ángeles, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Liza Liza: Skies Are Grey;Mejor actriz;Sí;2025;Anora;;;;
Cynthia Erivo;Femenino;Stockwell, Inglaterra;Británica;No aplica;Negra;Sí; Widows;Mejor actriz;No;2025;Wicked;;;;
Karla Sofía Gascón;Femenino;Alcobendas, España;Española;No aplica;Hispana;No; Se buscan fulmontis;Mejor actriz;No;2025;Emilia Pérez;;;;
Demi Moore;Femenino;Roswell, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Choices;Mejor actriz;No;2025;The Substance;;;;
Fernanda Torres;Femenino;Río de Janeiro, Brasil;Brasileña;No aplica;Blanca;No; Inocência;Mejor actriz;No;2025;I'm Still Here;;;;
Michael B. Jordan;Masculino;Santa Ana, Estados Unidos;Estadounidense;No aplica;Negra;Sí; Black and White;Mejor actor;Sí;2026;Sinners;;;;
Timothée Chalamet;Masculino;Nueva York, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Men, Women & Children;Mejor actor;No;2026;Marty Supreme;;;;
Leonardo DiCaprio;Masculino;Hollywood, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Critters 3: You Are What They Eat;Mejor actor;No;2026;One Battle after Another;;;;
Ethan Hawke;Masculino;Austin, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Explorers;Mejor actor;No;2026;Blue Moon;;;;
Wagner Moura;Masculino;Salvador de Bahía, Brasil;Brasileña;No aplica;Blanca;Sí; Woman on Top;Mejor actor;No;2026;The Secret Agent;;;;
Jessie Buckley;Femenino;Killarney, Irlanda;Irlandesa;No aplica;Blanca;No; Beast;Mejor actriz;Sí;2026;Hamnet;;;;
Rose Byrne;Femenino;Balmain, Australia;Australiana;No aplica;Blanca;No; Dallas Doll;Mejor actriz;No;2026;If I Had Legs I'd Kick You;;;;
Kate Hudson;Femenino;Los Ángeles, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Desert Blue;Mejor actriz;No;2026;Song Sung Blue;;;;
Renate Reinsve;Femenino;Solbergelva, Noruega;Noruega;No aplica;Blanca;No; Oslo, 31. august;Mejor actriz;No;2026;Sentimental Value;;;;
Emma Stone;Femenino;Scottsdale, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Superbad;Mejor actriz;No;2026;Bugonia;;;;
