nombres_nominados_nominadas;genero;lugar_de_nacimiento;nacionalidad_1;nacionalidad_2;raza_o_etnia;su_debut_fue_estadounidense;titulo_original_pelicula_debut;categoria_nominacion_oscar;fue_ganador_o_ganadora;ano_ceremonia;titulo_original_pelicula_nominada;ano_pelicula_nominada;original_language;genres;production_companies;production_countries;spoken_languages
George Clooney;Masculino;Lexington, Estados Unidos;Estadounidense;Francesa;Blanca;Sí; And They Are Off;Mejor actor;No;2010;Up in the Air;2009;ingles;Drama, Romance;Right of Way Films, Paramount, Cold Spring Pictures, Rickshaw Productions, The Montecito Picture Company, DW Studios;Estados Unidos;Ingles
Meryl Streep;Femenino;Summit, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Julia;Mejor actriz;No;2010;Julie & Julia;2009;ingles;Romance, Drama;Columbia Pictures, Easy There Tiger Productions, Scott Rudin Productions;Estados Unidos;Ingles, Frances
Colin Firth;Masculino;Grayshott, Inglaterra;Británica;Italiana;Blanca;No; Another Country;Mejor actor;No;2010;A Single Man;2009;ingles;Drama, Romance;Fade to Black Productions, Depth of Field, Artina Films;Estados Unidos;Español, Ingles
Carey Mulligan;Femenino;Westminster, Inglaterra;Británica;No aplica;Blanca;Sí; Pride & Prejudice;Mejor actriz;No;2010;An Education;2009;ingles;Drama, Romance;BBC Film, Wildgaze Films, Endgame Entertainment;Reino Unido;Ingles
Jeff Bridges;Masculino;Los Ángeles, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Halls of Anger;Mejor actor;Sí;2010;Crazy Heart;2009;ingles;Drama, Music, Romance;Fox Searchlight Pictures, Informant Media, Butcher's Run Films;Estados Unidos;Ingles, Español
Helen Mirren;Femenino;Chiswick, Inglaterra;Británica;Estadounidense;Blanca;No; Herostratus;Mejor actriz;No;2010;The Last Station;2009;ingles;Drama, Romance;Zephyr Films, Egoli Tossell Film;Alemania, Russia, Reino Unido;Ingles
Jeremy Renner;Masculino;Modesto, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Senior Trip;Mejor actor;No;2010;The Hurt Locker;2009;Inglés;Drama, Suspense, Bélica;Voltage Pictures, Grosvenor Park Media, Kingsgate Films, First Light Production;Estados Unidos;Inglés, Árabe
Gabourey Sidibe;Femenino;Brooklyn, Estados Unidos;Estadounidense;No aplica;Negra;Sí; Precious;Mejor actriz;No;2010;Precious: Based on the Novel 'Push' by Sapphire;2009;Inglés;Drama;Lee Daniels Entertainment, Smokewood Entertainment Group, Harpo Films;Estados Unidos;Inglés
Natalie Portman;Femenino;Jerusalén, Israel;Israelí;Estadounidense ;Blanca;Sí; Léon;Mejor actriz;Sí;2011;Black Swan;2010;ingles;Drama, Thriller, Horror;Fox Searchlight Pictures, Cross Creek Pictures, Protozoa Pictures, Phoenix Pictures;Estados Unidos;Ingles, Frances, Italiano
Jesse Eisenberg;Masculino;Queens, Estados Unidos;Estadounidense;Polaca;Blanca;Sí; Roger Dodger;Mejor actor;No;2011;The Social Network;2010;ingles;Drama;Columbia Pictures, Relativity Media, Scott Rudin Productions, Michael De Luca Productions, Trigger Street Productions;Estados Unidos;Ingles
Colin Firth;Masculino;Grayshott, Inglaterra;Británica;Italiana;Blanca;No; Another Country;Mejor actor;Sí;2011;The King's Speech;2010;ingles;Drama, History;The Weinstein Company, UK Film Council, Momentum Pictures, Aegis Film Fund, Molinare Investment, FilmNation Entertainment, See-Saw Films, Bedlam Productions;Reino Unido, Estados Unidos;Ingles
James Franco;Masculino;Palo Alto, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Never Been Kissed;Mejor actor;No;2011;127 Hours;2010;ingles;Adventure, Drama, Thriller;Fox Searchlight Pictures, Pathé, Everest Entertainment, HandMade Films, Film4 Productions, Cloud Eight Films, Dune Entertainment;Francia, Reino Unido, Estados Unidos;Ingles
Jeff Bridges;Masculino;Los Ángeles, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Halls of Anger;Mejor actor;No;2011;True Grit;2010;ingles;Drama, Adventure, Western;Paramount, Scott Rudin Productions, Mike Zoss Productions, Skydance;Estados Unidos;Ingles
Michelle Williams;Femenino;Kalispell, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Lassie;Mejor actriz;No;2011;Blue Valentine;2010;ingles;Drama, Romance;Cottage Industries, Incentive Filmed Entertainment, Silverwood Films, Hunting Lane Films, Chrysler Corporation, Shade Pictures, Motel Movies;Estados Unidos;Ingles
Jennifer Lawrence;Femenino;Louisville, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Garden Party;Mejor actriz;No;2011;Winter's Bone;2010;ingles;Drama, Mystery;Anonymous Content, Winter's Bone Productions, Fortissimo Films;Netherlands, Estados Unidos;Ingles
Annette Bening;Femenino;Topeka, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Great Outdoors;Mejor actriz;No;2011;The Kids Are All Right;2010;ingles;Comedy, Drama;Focus Features, Mandalay Vision, 10th Hole Productions, Gilbert Films, Saint Aire Production, Artist International, Antidote Films, Artist International Management;Estados Unidos;Ingles
Javier Bardem;Masculino;Las Palmas de Gran Canaria, España;Española;No aplica;Hispana;No; Las edades de Lulú;Mejor actor;No;2011;Biutiful;2010;espanol;Drama;Menageatroz, Mod Producciones, Focus Features, Ikiru Films, TV3, TVE, LD Entertainment, Roadside Attractions, Cha Cha Cha;Mexico, Espana, Estados Unidos;Cantones, Mandarin, Español, Wolof
Nicole Kidman;Femenino;Honolulú, Estados Unidos;Estadounidense;Australiana;Blanca;No; Bush Christmas;Mejor actriz;No;2011;Rabbit Hole;2010;ingles;Drama;Olympus Pictures, OddLot Entertainment, Blossom Films;Estados Unidos;Ingles
Viola Davis;Femenino;Saint Matthews, Estados Unidos;Estadounidense;No aplica;Negra;Sí; The Substance of Fire;Mejor actriz;No;2012;The Help;2011;ingles;Drama;1492 Pictures, Harbinger Pictures, Touchstone Pictures;Estados Unidos;Ingles
Rooney Mara;Femenino;Bedford, Estados Unidos;Estadounidense;No aplica;Blanca;Sí;  Urban Legends: Bloody Mary;Mejor actriz;No;2012;The Girl with the Dragon Tattoo;2011;ingles;Thriller, Crime, Mystery;Ground Control, Columbia Pictures, Scott Rudin Productions, Film Rites, Metro-Goldwyn-Mayer, Yellow Bird;Estados Unidos, Noruega, Suecia;Ingles, Frances
Brad Pitt;Masculino;Shawnee, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Cutting Class;Mejor actor;No;2012;Moneyball;2011;ingles;Drama;Columbia Pictures, Scott Rudin Productions, Michael De Luca Productions, Sidney Kimmel Entertainment, Specialty Films;Estados Unidos;Ingles
Jean Dujardin;Masculino;Rueil-Malmaison, Francia;Francesa;No aplica;Blanca;No; Ah! Si j'étais riche;Mejor actor;Sí;2012;The Artist;2011;frances;Drama, Comedy, Romance;uFilm, La Petite Reine, Studio 37, La Classe américaine, JD Prod, France 3 Cinéma, Jouror Productions;Belgica, Francia;Sin Lenguaje
George Clooney;Masculino;Lexington, Estados Unidos;Estadounidense;Francesa;Blanca;Sí; And They Are Off;Mejor actor;No;2012;The Descendants;2011;ingles;Comedy, Drama;Dune Entertainment, Fox Searchlight Pictures, Ad Hominem Enterprises;Estados Unidos;Ingles
Gary Oldman;Masculino;New Cross, Inglaterra;Británica;No aplica;Blanca;No; Remembrance;Mejor actor;No;2012;Tinker Tailor Soldier Spy;2011;ingles;Drama, Thriller, Mystery;StudioCanal, Kinowelt Filmproduktion, CinéCinéma, Working Title Films, Karla Films, Canal+, Focus Features, TTSS, AZ Celtic Films;Francia, Alemania, Turquia, Reino Unido, Estados Unidos;Ingles, Frances, Hungaro, Ruso, Turco
Meryl Streep;Femenino;Summit, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Julia;Mejor actriz;Sí;2012;The Iron Lady;2011;ingles;History, Drama;UK Film Council, DJ Films, CinéCinéma, Pathé, Yuk Films, Film4 Productions, Canal+, Goldcrest;Francia, Reino Unido;Ingles
Michelle Williams;Femenino;Kalispell, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Lassie;Mejor actriz;No;2012;My Week with Marilyn;2011;ingles;Drama, Romance;The Weinstein Company, BBC Film, Trademark Films, Lipsync Productions;Reino Unido, Estados Unidos;Ingles, Frances
Glenn Close;Femenino;Greenwich, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The World According to Garp;Mejor actriz;No;2012;Albert Nobbs;2011;ingles;Drama;Mockingbird Pictures, Trillium Productions, Parallel Film Productions, Morrison Films, WestEnd Films, DragonCove Studios, Chrysalis Films, Allen & Associates, Canal+, Fís Éireann/Screen Ireland;Estados Unidos, Francia, Irlanda, Reino Unido;Ingles
Demián Bichir;Masculino;Ciudad de México, México;Mexicana;No aplica;Hispana;No; Astucia;Mejor actor;No;2012;A Better Life;2011;ingles;Drama;McLaughlin Films, Depth of Field, Summit Entertainment, Lime Orchard Productions, Witt/Thomas Productions;Estados Unidos;Ingles, Español
Bradley Cooper;Masculino;Filadelfia, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Wet Hot American Summer;Mejor actor;No;2013;Silver Linings Playbook;2012;ingles;Drama, Comedy, Romance;The Weinstein Company;Estados Unidos;Ingles
Jennifer Lawrence;Femenino;Louisville, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Garden Party;Mejor actriz;Sí;2013;Silver Linings Playbook;2012;ingles;Drama, Comedy, Romance;The Weinstein Company;Estados Unidos;Ingles
Naomi Watts;Femenino;Shoreham, Inglaterra;Británica;Australiana;Blanca;No; For Love Alone;Mejor actriz;No;2013;The Impossible;2012;ingles;Adventure, Drama, Thriller;Summit Entertainment, Apaches Entertainment, Canal+ España, ICAA, IVAC, Mediaset España, La Trini, Generalitat Valenciana, Telecinco Cinema, VS Service, Lionsgate;Espana, Estados Unidos;Ingles, Sueco, Tailandes
Denzel Washington;Masculino;Mount Vernon, Estados Unidos;Estadounidense;No aplica;Negra;Sí; Carbon Copy;Mejor actor;No;2013;Flight;2012;ingles;Drama;Paramount, ImageMovers, Parkes-MacDonald Productions;Estados Unidos;Ingles
Hugh Jackman;Masculino;Sídney, Australia;Australiana;Británica;Blanca;No; Paperback Hero;Mejor actor;No;2013;Les Misérables;2012;ingles;History, Drama;Universal Pictures, Working Title Films, Cameron Mackintosh Ltd., Relativity Media;Reino Unido, Estados Unidos;Ingles
Jessica Chastain;Femenino;Condado de Sonoma, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Jolene;Mejor actriz;No;2013;Zero Dark Thirty;2012;ingles;Thriller, Drama, History;Columbia Pictures, Annapurna Pictures, First Light;Estados Unidos;Ingles, Arabe
Daniel Day-Lewis;Masculino;Greenwich, Inglaterra;Británica;Irlandesa;Blanca;No; Endless Love;Mejor actor;Sí;2013;Lincoln;2012;ingles;History, Drama;DreamWorks Pictures, Amblin Entertainment, Dune Entertainment, The Kennedy/Marshall Company, Participant, Reliance Entertainment, 20th Century Fox;India, Estados Unidos;Ingles
Joaquin Phoenix;Masculino;San Juan, Puerto Rico;Estadounidense;No aplica;Blanca;Sí; SpaceCamp;Mejor actor;No;2013;The Master;2012;ingles;Drama;Annapurna Pictures, The Weinstein Company, Ghoulardi Film Company;Estados Unidos;Ingles
Emmanuelle Riva;Femenino;Cheniménil, Francia;Francesa;No aplica;Blanca;No; Hiroshima mon amour;Mejor actriz;No;2013;Amour;2012;frances;Drama, Romance;wega film vienna, Les Films du Losange, X Filme Creative Pool;Francia, Austria, Alemania;Frances
Quvenzhané Wallis;Femenino;Houma, Estados Unidos;Estadounidense;No aplica;Negra;Sí; Beasts of the Southern Wild;Mejor actriz;No;2013;Beasts of the Southern Wild;2012;ingles;Drama, Fantasy;Cinereach, Court 13 Pictures, Journeyman Pictures, Department of Motion Pictures, Fox Searchlight Pictures;Estados Unidos;Ingles
Leonardo DiCaprio;Masculino;Hollywood, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Critters 3: You Are What They Eat;Mejor actor;No;2014;The Wolf of Wall Street;2013;ingles;Crime, Drama, Comedy;EMJAG Productions, Red Granite Pictures, Appian Way, Sikelia Productions;Estados Unidos;Ingles, Frances
Sandra Bullock;Femenino;Arlington, Estados Unidos;Estadounidense;Alemana;Blanca;Sí; Hangmen;Mejor actriz;No;2014;Gravity;2013;ingles;Science Fiction, Thriller, Drama;Esperanto Filmoj, Warner Bros. Pictures, Heyday Films;Reino Unido, Estados Unidos;Ingles
Chiwetel Ejiofor;Masculino;Forest Gate, Inglaterra;Británica;No aplica;Negra;Sí; Amistad;Mejor actor;No;2014;12 Years a Slave;2013;ingles;Drama, History;New Regency Pictures, Plan B Entertainment, River Road Entertainment, Regency Enterprises, Film4 Productions;Estados Unidos, Reino Unido;Ingles
Matthew McConaughey;Masculino;Uvalde, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Dazed and Confused;Mejor actor;Sí;2014;Dallas Buyers Club;2013;ingles;Drama, History;Truth Entertainment, Voltage Pictures, CE, Evolution Independent, R² Films, Rainmaker Films, Focus Features;Estados Unidos;Ingles, Japones
Christian Bale;Masculino;Haverfordwest, Pembrokeshire, Gales, Reino Unido;Británica;Estadounidense;Blanca;No; Mio min Mio;Mejor actor;No;2014;American Hustle;2013;ingles;Drama, Crime;Annapurna Pictures, Atlas Entertainment, Columbia Pictures;Estados Unidos;Ingles
Amy Adams;Femenino;Vicenza, Italia;Estadounidense;No aplica;Blanca;Sí; Drop Dead Gorgeous;Mejor actriz;No;2014;American Hustle;2013;ingles;Drama, Crime;Annapurna Pictures, Atlas Entertainment, Columbia Pictures;Estados Unidos;Ingles
Cate Blanchett;Femenino;Melbourne, Australia;Australiana;Estadounidense;Blanca;Sí; Paradise Road;Mejor actriz;Sí;2014;Blue Jasmine;2013;ingles;Drama;Gravier Productions, Perdido Productions;Estados Unidos;Ingles
Bruce Dern;Masculino;Chicago, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Marnie;Mejor actor;No;2014;Nebraska;2013;ingles;Drama, Adventure;Paramount Vantage, Bona Fide Productions;Estados Unidos;Ingles, Español
Judi Dench;Femenino;York, Inglaterra;Británica;No aplica;Blanca;No; The Third Secret;Mejor actriz;No;2014;Philomena;2013;ingles;Drama;Baby Cow Productions, BBC Film, Magnolia Mae Films, Pathe;Reino Unido;Ingles
Meryl Streep;Femenino;Summit, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Julia;Mejor actriz;No;2014;August: Osage County;2013;ingles;Comedy, Drama;Jean Doumanian Productions, Smoke House Pictures;Estados Unidos;Ingles
Rosamund Pike;Femenino;Hammersmith, Inglaterra;Británica;No aplica;Blanca;Sí;  Die Another Day;Mejor actriz;No;2015;Gone Girl;2014;ingles;Mystery, Thriller, Drama;Regency Enterprises, New Regency Pictures, Pacific Standard, TSG Entertainment, Artemple - Hollywood, 20th Century Fox;Estados Unidos;Ingles
Benedict Cumberbatch;Masculino;Hammersmith, Inglaterra;Británica;No aplica;Blanca;No; To Kill a King;Mejor actor;No;2015;The Imitation Game;2014;ingles;History, Drama, Thriller, War;Bristol Automotive, Black Bear Pictures, The Weinstein Company, FilmNation Entertainment;Reino Unido, Estados Unidos;Ingles
Michael Keaton;Masculino;Coraopolis, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Rabbit Test;Mejor actor;No;2015;Birdman or (The Unexpected Virtue of Ignorance);2014;ingles;Drama, Comedy;TSG Entertainment, Worldview Entertainment, New Regency Pictures, M Productions, Le Grisbi Productions;Estados Unidos;Ingles
Bradley Cooper;Masculino;Filadelfia, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Wet Hot American Summer;Mejor actor;No;2015;American Sniper;2014;ingles;War, Action;RatPac Entertainment, Village Roadshow Pictures, 22 & Indiana Pictures, Malpaso Productions, Warner Bros. Pictures, Mad Chance;Estados Unidos;Ingles
Eddie Redmayne;Masculino;Westminster, Inglaterra;Británica;No aplica;Blanca;No; Like Minds;Mejor actor;Sí;2015;The Theory of Everything;2014;ingles;Drama, Romance;Working Title Films;Reino Unido;Latin, Ingles, Frances, Italiano
Felicity Jones;Femenino;Birmingham, Inglaterra;Británica;No aplica;Blanca;Sí; Flashbacks of a Fool;Mejor actriz;No;2015;The Theory of Everything;2014;ingles;Drama, Romance;Working Title Films;Reino Unido;Latin, Ingles, Frances, Italiano
Julianne Moore;Femenino;Fort Bragg, Estados Unidos;Estadounidense;Británica;Blanca;Sí; Tales from the Darkside: The Movie;Mejor actriz;Sí;2015;Still Alice;2014;ingles;Drama;Shriver Films, Killer Films, Big Indie Pictures, BSM Studio, Lutzus-Brown, Backup Media, Sony Pictures Classics;Francia, Reino Unido, Estados Unidos;Ingles
Reese Witherspoon;Femenino;Nueva Orleans, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Man in the Moon;Mejor actriz;No;2015;Wild;2014;ingles;Drama;bob industries, Fox Searchlight Pictures, Pacific Standard;Estados Unidos;Ingles
Steve Carell;Masculino;Concord, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Curly Sue;Mejor actor;No;2015;Foxcatcher;2014;ingles;Drama, Thriller;Annapurna Pictures, MRC, Likely Story, Full Nelson Entertainment, Sony Pictures Classics;Estados Unidos;Ingles
Marion Cotillard;Femenino;París, Francia;Francesa;No aplica;Blanca;No; L'histoire du garçon qui voulait qu'on l'embrasse;Mejor actriz;No;2015;Two Days, One Night;2014;frances;Drama;Media Programme of the European Community, Les Films du Fleuve, Archipel 33>35, BIM Distribuzione, Eyeworks, Belgacom, VOO, Vlaams Audiovisueel fonds, Euro-Images, Ciné+, Canal+, France 2 Cinéma, RTBF;Italia, Belgica, Francia;Frances
Matt Damon;Masculino;Cambridge, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Mystic Pizza;Mejor actor;No;2016;The Martian;2015;ingles;Drama, Adventure, Science Fiction;Scott Free Productions, Genre Films;Reino Unido, Estados Unidos;Ingles, Mandarin
Leonardo DiCaprio;Masculino;Hollywood, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Critters 3: You Are What They Eat;Mejor actor;Sí;2016;The Revenant;2015;ingles;Western, Drama, Adventure;Monarchy Enterprises S.a.r.l., Regency Enterprises, Appian Way, CatchPlay, Anonymous Content, New Regency Pictures, Hong Kong Alpha Motion Pictures Co., M Productions, RatPac Entertainment;Canada, Hong Kong, Taiwan, Estados Unidos;Ingles, Frances
Brie Larson;Femenino;Sacramento, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Special Delivery;Mejor actriz;Sí;2016;Room;2015;ingles;Drama, Thriller;Elevation Pictures, Téléfilm Canada, Element Pictures, FilmNation Entertainment, No Trace Camping, Film4 Productions, Fís Éireann/Screen Ireland;Canada, Irlanda, Reino Unido, Estados Unidos;Ingles
Eddie Redmayne;Masculino;Westminster, Inglaterra;Británica;No aplica;Blanca;No; Like Minds;Mejor actor;No;2016;The Danish Girl;2015;ingles;Drama;Pretty Pictures, Working Title Films, Artémis Productions, Shelter Productions, Senator Global Productions, ReVision Pictures;Belgica, Reino Unido, Estados Unidos;Ingles, Frances, Aleman
Michael Fassbender;Masculino;Heidelberg, Alemania;Alemana;Irlandesa;Blanca;Sí;300;Mejor actor;No;2016;Steve Jobs;2015;ingles;Drama, History;Universal Pictures, Scott Rudin Productions, Legendary Pictures, The Mark Gordon Company, Management 360, Cloud Eight Films;Reino Unido, Estados Unidos;Ingles
Jennifer Lawrence;Femenino;Louisville, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Garden Party;Mejor actriz;No;2016;Joy;2015;ingles;Drama, Comedy;TSG Entertainment, Davis Entertainment, Annapurna Pictures, Fox 2000 Pictures, 20th Century Fox;Estados Unidos;Español, Ingles
Cate Blanchett;Femenino;Melbourne, Australia;Australiana;Estadounidense;Blanca;Sí; Paradise Road;Mejor actriz;No;2016;Carol;2015;ingles;Romance, Drama;Killer Films, Number 9 Films, Film4 Productions;Reino Unido, Estados Unidos;Ingles
Saoirse Ronan;Femenino;Bronx, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; I Could Never Be Your Woman;Mejor actriz;No;2016;Brooklyn;2015;ingles;Romance, Drama;Wildgaze Films, Item 7, Parallel Films, Fís Éireann/Screen Ireland;Irlanda, Reino Unido, Canada;Ingles
Bryan Cranston;Masculino;Valle de San Fernando, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Big Turnaround;Mejor actor;No;2016;Trumbo;2015;ingles;Drama;ShivHans Pictures, Groundswell Productions, Inimitable Pictures;Estados Unidos;Ingles
Charlotte Rampling;Femenino;Sturmer, Inglaterra;Británica;No aplica;Blanca;No; Rotten to the Core;Mejor actriz;No;2016;45 Years;2015;ingles;Drama, Romance;Artificial Eye, The Bureau, Creative England, BFI, Film4 Productions;Reino Unido;Ingles
Ryan Gosling;Masculino;Londres, Canadá;Canadiense;No aplica;Blanca;No; Frankenstein and Me;Mejor actor;No;2017;La La Land;2016;ingles;Comedy, Drama, Romance, Music;Summit Entertainment, Black Label Media, Gilbert Films, Impostor Pictures, Marc Platt Productions, Lionsgate;Estados Unidos;Ingles
Emma Stone;Femenino;Scottsdale, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Superbad;Mejor actriz;Sí;2017;La La Land;2016;ingles;Comedy, Drama, Romance, Music;Summit Entertainment, Black Label Media, Gilbert Films, Impostor Pictures, Marc Platt Productions, Lionsgate;Estados Unidos;Ingles
Andrew Garfield;Masculino;Los Ángeles, Estados Unidos;Estadounidense;No aplica;Blanca;No; Boy A;Mejor actor;No;2017;Hacksaw Ridge;2016;ingles;Drama, History, War;Vendian Entertainment, Summit Entertainment, Cross Creek Pictures, IM Global, Screen Australia, Screen NSW, Permut Presentations, Pandemonium, Demarest Films, Lionsgate, Bliss Media, Kylin Pictures, AI Film;Australia, China, Reino Unido, Estados Unidos;Japones, Ingles
Viggo Mortensen;Masculino;Manhattan, Estados Unidos;Estadounidense;Danesa;Blanca;Sí;  Witness;Mejor actor;No;2017;Captain Fantastic;2016;ingles;Adventure, Drama;Electric City Entertainment, ShivHans Pictures;Estados Unidos;Esperanto, Ingles
Casey Affleck;Masculino;Falmouth, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; Lemon Sky;Mejor actor;Sí;2017;Manchester by the Sea;2016;ingles;Drama;Pearl Street Films, K Period Media, B Story, The Affleck/Middleton Project, The Media Farm, Amazon Studios, Big Indie Pictures, CMP Entertainment, OddLot Entertainment;Estados Unidos;Ingles
Denzel Washington;Masculino;Mount Vernon, Estados Unidos;Estadounidense;No aplica;Negra;Sí; Carbon Copy;Mejor actor;No;2017;Fences;2016;ingles;Drama;Paramount, Scott Rudin Productions, MACRO, Bron Studios, Escape Artists;Canada, Estados Unidos;Ingles
Natalie Portman;Femenino;Jerusalén, Israel;Israelí;Estadounidense ;Blanca;Sí; Léon;Mejor actriz;No;2017;Jackie;2016;ingles;Drama;Fox Searchlight Pictures, Why Not Productions, Wild Bunch, Protozoa Pictures, Bliss Media, Endemol Shine North America, Fabula, LD Entertainment;Chile, Francia, Estados Unidos;Ingles
Isabelle Huppert;Femenino;París, Francia;Francesa;No aplica;Blanca;No; Faustine et le bel été;Mejor actriz;No;2017;Elle;2016;frances;Drama, Thriller;France 2 Cinéma, SBS Productions, Twenty Twenty Vision Filmproduktion, Proximus, Entre Chien et Loup;Belgica, Francia, Alemania;Frances
Meryl Streep;Femenino;Summit, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Julia;Mejor actriz;No;2017;Florence Foster Jenkins;2016;ingles;Comedy, Drama;BBC Film, Qwerty Films, Pathé;Reino Unido, Estados Unidos;Ingles
Ruth Negga;Femenino;Addis Abeba, Etiopía;Irlandesa;Etíope;Mediooriental;No; Capital Letters;Mejor actriz;No;2017;Loving;2016;ingles;Drama, Romance;Big Beach, Raindog Films, Augusta Films, Tri-State Pictures;Reino Unido, Estados Unidos;Ingles
Daniel Kaluuya;Masculino;Londres, Inglaterra;Británica;No aplica;Negra;No; Shoot the Messenger;Mejor actor;No;2018;Get Out;2017;ingles;Mystery, Thriller, Horror;Monkeypaw Productions, Blumhouse Productions, QC Entertainment;Estados Unidos;Ingles
Sally Hawkins;Femenino;Dulwich, Inglaterra;Británica;No aplica;Blanca;No; All or Nothing;Mejor actriz;No;2018;The Shape of Water;2017;ingles;Drama, Fantasy, Romance;Double Dare You Productions, Fox Searchlight Pictures, Bull Productions, TSG Entertainment;Estados Unidos;Ingles, Ruso
Timothée Chalamet;Masculino;Nueva York, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Men,  Women & Children;Mejor actor;No;2018;Call Me by Your Name;2017;ingles;Romance, Drama;La Cinéfacture, RT Features, Frenesy Film, Water's End Productions, M.Y.R.A. Entertainment, CineFinance Italia;Brasil, Francia, Italia, Estados Unidos;Frances, Ingles, Italiano
Saoirse Ronan;Femenino;Bronx, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; I Could Never Be Your Woman;Mejor actriz;No;2018;Lady Bird;2017;ingles;Drama, Comedy;IAC Films, Scott Rudin Productions, Entertainment 360;Estados Unidos;Ingles
Margot Robbie;Femenino;Dalby, Australia;Australiana;No aplica;Blanca;No; Vigilante;Mejor actriz;No;2018;I, Tonya;2017;ingles;Drama, Comedy;LuckyChap Entertainment, Clubhouse Pictures;Estados Unidos;Ingles
Gary Oldman;Masculino;New Cross, Inglaterra;Británica;No aplica;Blanca;No; Remembrance;Mejor actor;Sí;2018;Darkest Hour;2017;ingles;Drama, History;Perfect World Pictures, Working Title Films, Focus Features;Reino Unido, Estados Unidos;Ingles
Meryl Streep;Femenino;Summit, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Julia;Mejor actriz;No;2018;The Post;2017;ingles;Drama, History;20th Century Fox, DreamWorks Pictures, Reliance Entertainment, TSG Entertainment, Participant, Amblin Entertainment, Pascal Pictures, Star Thrower Entertainment;India, Estados Unidos;Ingles
Daniel Day-Lewis;Masculino;Greenwich, Inglaterra;Británica;Irlandesa;Blanca;No; Endless Love;Mejor actor;No;2018;Phantom Thread;2017;ingles;Drama, Romance;Ghoulardi Film Company, Focus Features, Annapurna Pictures, Perfect World Pictures;Estados Unidos, Reino Unido;Ingles, Frances
Denzel Washington;Masculino;Mount Vernon, Estados Unidos;Estadounidense;No aplica;Negra;Sí; Carbon Copy;Mejor actor;No;2018;Roman J. Israel, Esq.;2017;ingles;Drama, Crime, Thriller;Culture China - Image Nation Abu Dhabi Fund, Cross Creek Pictures, Bron Studios, Escape Artists, Imagenation Abu Dhabi FZ, MACRO, Topic Studios, Columbia Pictures;Estados Unidos;Armenian, Ingles, Español
Frances McDormand;Femenino;Chicago, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Blood Simple;Mejor actriz;Sí;2018;Three Billboards outside Ebbing, Missouri;2017;Inglés;Crimen, Drama;Blueprint Pictures, Fox Searchlight Pictures, Film4 Productions;Reino Unido, Estados Unidos;Inglés
Rami Malek;Masculino;Los Ángeles, Estados Unidos;Estadounidense;No aplica;Mediooriental;Sí; Night at the Museum;Mejor actor;Sí;2019;Bohemian Rhapsody;2018;ingles;Music, Drama, History;GK Films, Regency Enterprises, Queen Films, Tribeca Productions, New Regency Pictures, 20th Century Fox;Reino Unido, Estados Unidos;Ingles
Bradley Cooper;Masculino;Filadelfia, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Wet Hot American Summer;Mejor actor;No;2019;A Star Is Born;2018;ingles;Music, Drama, Romance;Thunder Road, 22 & Green, Gerber Pictures, Joint Effort, Malpaso Productions, Warner Bros. Pictures, Live Nation Productions;Estados Unidos;Ingles
